id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index,highlights,notes
401281949,2021,1,regular,2021-09-04T20:00:00.000Z,False,False,False,,3693,Davis Wade Stadium,344,Mississippi State,SEC,35.0,14.0,0.0,0.0,21.0,0.9758994292127464,2348,Louisiana Tech,Conference USA,34.0,7.0,14.0,10.0,3.0,0.0241005707872536,6.4769267877,,
401287887,2021,1,regular,2021-09-04T20:30:00.000Z,False,False,False,,3772,Jack Trice Stadium,66,Iowa State,Big 12,16.0,3.0,10.0,0.0,3.0,0.8786943269118912,2460,Northern Iowa,,10.0,7.0,3.0,0.0,0.0,0.1213056730881088,3.4750110544,,
401287892,2021,1,regular,2021-09-04T20:30:00.000Z,False,False,False,,3910,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,38.0,7.0,7.0,14.0,10.0,0.9787923181246068,309,Louisiana,Sun Belt,18.0,3.0,3.0,6.0,6.0,0.0212076818753931,3.8381599324,,
401309842,2021,1,regular,2021-09-04T21:00:00.000Z,False,False,False,,477,Los Angeles Memorial Coliseum,30,USC,Pac-12,30.0,10.0,3.0,0.0,17.0,,23,San José State,Mountain West,7.0,0.0,0.0,7.0,0.0,,,,
401309600,2021,1,regular,2021-09-04T22:00:00.000Z,False,False,False,,3608,Paulson Stadium,290,Georgia Southern,Sun Belt,30.0,3.0,17.0,0.0,10.0,,2241,Gardner-Webb,,25.0,6.0,0.0,6.0,13.0,,,,
401286294,2021,1,regular,2021-09-04T22:00:00.000Z,False,False,False,,3992,Williams Stadium,2335,Liberty,FBS Independents,48.0,14.0,6.0,14.0,14.0,0.9975063541111128,2097,Campbell,,7.0,0.0,7.0,0.0,0.0,0.0024936458888872,1.8277711552,,
401281944,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,,3785,Jordan-Hare Stadium,2,Auburn,SEC,60.0,13.0,24.0,16.0,7.0,0.9989678214762068,2006,Akron,Mid-American,10.0,0.0,0.0,0.0,10.0,0.0010321785237933,1.1278404344,,
401309543,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,,3739,Glass Bowl,2649,Toledo,Mid-American,49.0,14.0,14.0,14.0,7.0,0.9989709460213672,2450,Norfolk State,,10.0,7.0,0.0,0.0,3.0,0.0010290539786328,1.0626071785,,
401287893,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,,3644,Jim Wacker Field at Bobcat Stadium,326,Texas State,Sun Belt,22.0,3.0,7.0,3.0,9.0,0.0275700832715355,239,Baylor,Big 12,29.0,7.0,7.0,10.0,5.0,0.9724299167284643,3.4324554132,,
401281951,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,,3994,Williams-Brice Stadium,2579,South Carolina,SEC,46.0,15.0,14.0,3.0,14.0,0.9986969045846604,2197,Eastern Illinois,,0.0,0.0,0.0,0.0,0.0,0.0013030954153395,1.1740856646,,
